,title,class,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word
675,Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,1,2,11,71,11,6.5,15,100,0
676,Pope Francis To Followers: “Koran And Holy Bible Are The Same”,1,3,11,52,11,4.7,21,100,0
677,United Airlines Flight Attendant Slaps Crying Baby During Flight,1,0,9,56,9,6.2,16,100,0
678,"CIA Release Documents Of Moon, Moon Has More Than 250 Million Citizens",1,0,13,59,12,4.9,22,108,0
679,How Donald Trump Lost the 'War on Christmas',1,2,6,37,8,4.6,16,75,0
680,Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria,1,0,8,54,10,5.4,14,80,0
681,Man charged with murder after driving into anti-far-right protesters in Charlottesville,1,2,2,77,11,7.0,2,18,0
682,BREAKING: Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect The Flag’,1,3,23,69,12,5.8,33,191,0
683,The Legislative Process,1,0,3,21,3,7.0,14,100,0
684,Head Of NFL Fines Steeler Teammates $1 MILLION Each!,1,1,16,44,9,4.9,36,177,0
685,Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country,1,0,8,56,10,5.6,14,80,0
686,BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake,1,1,19,57,12,4.8,33,158,0
687,Sid Miller,1,0,2,9,2,4.5,22,100,0
688,"Kasich: “If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?”",1,4,22,99,22,4.5,22,100,0
689,Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS,1,0,17,72,15,4.8,23,113,0
690,GOP Official Who Says America Needs ?Another 9/11? Shares _______________ With Trump,1,17,12,73,12,6.1,16,100,0
691,82-Year-Old Who Killed A Muslim In Self-Defense Gets The Death Penalty,1,3,13,60,11,5.5,21,118,0
692,DEA Just Raided A United States Senator,1,0,9,33,7,4.7,27,128,0
693,"CNN Shocks America, FIRES ‘Journalist’ Who Made Fun Of Sarah Sanders’ Face",1,3,18,63,12,5.2,28,150,0
694,Trump’s DHS Secretary Confirms They Are Preparing To Arrest Sanctuary City Leaders,1,1,14,71,12,5.9,19,116,0
695,Twelve More Hurricanes Headed Towards US,1,0,7,35,6,5.8,20,116,0
696,CALIFORNIA DEMOCRAT MAXINE WATERS CHARGED ON 3 COUNTS. DO YOU SUPPORT THIS?,1,1,61,64,12,5.3,95,508,0
697,"BREAKING: British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash – NRTOnline",1,1,21,88,13,6.8,23,161,0
698,"OFFICIAL: Rudy Giuliani Officially Resigns, Trump’s Legal Team on Its Last Leg",1,2,18,67,12,5.6,26,150,0
699,Michelle Obama Just Received LIFE-SHATTERING News From The Doctor,1,1,22,57,9,6.3,38,244,0
700,SPECIAL REPORT: GEORGIA BECOMES FIRST STATE TO BAN MUSLIM CULTURE IN HISTORIC MOVE TO RESTORE WESTERN VALUES!,1,2,91,93,17,5.5,97,535,0
701,Tens of Thousands Of Scientists Declare Climate Change A Hoax,1,0,9,52,10,5.2,17,90,0
702,The numbers don't lie... - Occupy Democrats,1,2,3,37,7,5.3,8,42,0
703,Donald Trump to issue an executive order to ban Facebook across US,1,0,5,55,12,4.6,9,41,0
704,"The hacked emails at the center of Mueller’s Russia investigation, explained",1,1,3,66,11,6.0,4,27,0
705,JUST IN: Barack Obama ARRESTED in a Japanese Drug Bust,1,1,19,45,10,4.5,42,190,0
706,Lisa Page Squeals: DNC Server Was Not Hacked By Russia,1,1,12,45,10,4.5,26,120,0
707,"Bin Laden is “Alive and well in the Bahamas”, says Edward Snowden",1,2,6,54,12,4.5,11,50,0
708,Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison,1,1,13,66,13,5.1,19,100,0
709,Delta Ticket 2017,1,0,2,15,3,5.0,13,66,0
710,Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,1,4,11,59,8,7.4,18,137,0
711,Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief,1,0,12,63,12,5.2,19,100,0
712,Dying 78 Year Old CIA Agent Admits To Killing Marilyn Monroe,1,0,12,50,11,4.5,24,109,0
713,Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,1,1,14,75,14,5.4,18,100,0
714, If You Are Using This Toothpaste… Throw It Away Immediately Nov 28,1,0,11,55,13,4.2,20,84,0
715,"Queen Elizabeth Says: “Muslim Refugees Are Dividing Nationality, I Fully Agree With Donald Trump We Should…”(VIDEO)",1,5,21,100,16,6.2,21,131,0
716,Account Suspended,1,0,2,16,2,8.0,12,100,0
717,McCain Blamed For Sabotaging Trump,1,0,6,30,5,6.0,20,120,0
718,Create a Prank and trick your friends,1,0,2,31,7,4.4,6,28,0
719,"BOMBSHELL: COMEY KNEW MURDERED DNC STAFFER, SETH RICH, WAS WIKILEAKS SOURCE & COVERED IT UP FOR HILLARY",1,2,83,87,17,5.1,95,488,0
720,American News is under construction,1,0,2,31,5,6.2,6,40,0
721,"Actress Jennifer Aniston: “Me and All The Trump Supporter Celebrities Decide To Make A Company Named “Celebrities For Trump”, Which Fight Against All Anti Trump Celebrities, I Think President Trump Ne",1,4,30,170,31,5.5,17,96,0
722,"Police Officers, Firefighters and Others Get Hit with Tax Penalty",1,0,8,56,10,5.6,14,80,0
723,Whoopi Goldberg: Navy SEAL Widow was “Looking for Attention”,1,3,10,52,9,5.8,19,111,0
724,Starbucks Just Placed Trump’s Photo on Floor so Every Customer have to Step On It….,1,1,11,69,15,4.6,15,73,0
725,Food Stamp Enrollment Drops by Four Million in One Month,1,0,8,47,10,4.7,17,80,0
726,Obama Goes To G20 Summit,1,0,5,20,5,4.0,25,100,0
727,Melania Trump Hired Exorcist To ‘Cleanse White House Of Obama Demons’,1,2,11,59,11,5.4,18,100,0
728,URGENT: proposed law would charge protesters with terrorism,1,1,6,52,8,6.5,11,75,0
729,"Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’",1,4,10,63,10,6.3,15,100,0
730,Clint Eastwood Leaves His Estate To The Trump 2020 Campaign,1,0,9,50,10,5.0,18,90,0
731,"Actor Brad Pitt: 'Trump Is Not My President, We Have No Future With This...'",1,3,14,63,14,4.5,22,100,0
732,Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin,1,2,14,75,15,5.0,18,93,0
733,"BREAKING: Trump fires Deputy Attorney General Rod Rosenstein, raising questions over Mueller’s fate",1,2,15,87,13,6.7,17,115,0
734,JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,1,0,49,49,9,5.4,100,544,0
735,John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,1,3,12,67,12,5.6,17,100,0
736,The Kardashians donate whopping sum to Las Vegas mass shooting victims,1,0,4,60,11,5.5,6,36,0
737,Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands,1,0,12,73,12,6.1,16,100,0
738,"MITT ROMNEY: ‘TRUMP HAS SOME VERY SERIOUS EMOTIONAL PROBLEMS, HE MUST RESIGN BEFORE WE…’",1,3,70,75,14,5.4,93,500,0
739,BREAKING: Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America,1,1,21,77,14,5.5,27,150,0
740,BREAKING: Autopsy Results From Vince Foster’s Exhumed Body–Cause Of Death To Be Changed,1,2,21,75,13,5.8,28,161,0
741,"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”",1,3,6,92,20,4.6,6,30,0
742,"Florida Bridge Collapse, Female Company",1,0,5,35,5,7.0,14,100,0
743,HRC Caught On Tape Laughing About Irma Wiping Out All Of Those Florida Hillbillies,1,0,16,77,14,5.5,20,114,0
744,Alabama State Police Arrest 3 Poll Workers In Birmingham,1,0,8,48,9,5.3,16,88,0
745,HOLLYWOOD CELEBS: WE WILL GO ON ‘TOTAL STRIKE’ IF TRUMP DOES NOT RESIGN,1,3,56,59,13,4.5,94,430,0
746,BREAKING: Roy Moore’s Accuser Arrested And Charged With Falsification,1,2,16,61,9,6.8,26,177,0
747,White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months,1,0,13,61,14,4.4,21,92,0
748,112-Year-Old Voters in North Carolina?,1,3,5,34,5,6.8,14,100,0
749,Denzel Washington hit by Facebook fake news story on Trump,1,0,4,49,10,4.9,8,40,0
750,NASA Will Pay You 18000 USD To Stay In Bed And Smoke Weed For 70 Straight Days,1,0,20,62,17,3.6,32,117,0
751,BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs,1,1,18,56,11,5.1,32,163,0
752,Paul Ryan: “Donald Trump Plans To Resign From Office Within The Next 30 Days”,1,3,13,64,14,4.6,20,92,0
753,LISTEN: Curious Robocall Seeks 'Damaging' Information on Moore,1,3,12,55,8,6.9,21,150,0
754,"National Guard Storms Mexico Border, Makes Game-Changing Impact In Just 30 Days",1,1,12,68,12,5.7,17,100,0
755,BREAKING: Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud (DETAILS),1,3,35,72,13,5.5,48,269,0
756,BREAKING: Shep Smith To Be Canned Because He Can’t Control His Hate For Donald Trump,1,2,22,70,15,4.7,31,146,0
757,"3,000-Pound Great White Shark Captured in Great Lakes",1,1,7,46,8,5.8,15,87,0
758,Wife of Las Vegas massacre victim: ‘He saved my life and lost his’,1,3,4,54,13,4.2,7,30,0
759,BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,1,1,37,38,6,6.3,97,616,0
760,Bachmann: “White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery”,1,3,18,92,19,4.8,19,94,0
761,Babysitter on Crystal Meth Eats 3-Month-Old Baby,1,2,7,42,7,6.0,16,100,0
762,Contact Support,1,0,2,14,2,7.0,14,100,0
763,JUST IN: John Kerry Facing Prison,1,1,10,28,6,4.7,35,166,0
764,JUST IN: Sarah Palin In A Coma After Hit And Run,1,1,15,38,11,3.5,39,136,0
765,Trump Declares Globalist Soros As “National Security Threat”…Using Obama’s 2014 Executive Order,1,3,12,84,12,7.0,14,100,0
766,Delta targeted in online free airline ticket scam,1,0,1,42,8,5.2,2,12,0
767,Melania Just Hit Donald Trump With Shocking Announcement He Never Saw Coming,1,0,12,65,12,5.4,18,100,0
768,"OBAMA CANCELED IT, TRUMP REINSTATED IT – A VERY SACRED DAY IS BACK",1,0,52,54,13,4.2,96,400,0
769,UsPostman.com is for sale (Us Postman),1,2,4,33,6,5.5,12,66,0
770,Bumble Bee Foods charged after man cooked with tuna,1,0,3,43,9,4.8,6,33,0
771,Morgue employee cremated by mistake while taking a nap,1,0,1,46,9,5.1,2,11,0
772,Hillary Clinton Furious At ‘Special Gift’ Melania Trump Sent Her From Her Hospital Bed,1,2,14,73,14,5.2,19,100,0
773,Stephen Bannon: “Nobody Can Blame You For Beating Your Wife If It’s Out Of Love”,1,4,15,66,15,4.4,22,100,0
774,"A fake photo of Emma González went viral on the far right, where Parkland teens are villains",1,0,4,76,17,4.5,5,23,0
775,Information for the Nation,1,0,2,23,4,5.8,8,50,0
776,majorthoughts.com,1,0,0,17,1,17.0,0,0,0
777,Trump on Revamping the Military: We’re Bringing Back the Draft,1,2,7,53,10,5.3,13,70,0
778,US Representatives Promise Implement Of UN Gun-Control Plans,1,1,11,53,8,6.6,20,137,0
779,Bill Gates’ Former Doctor Says Billionaire ‘Refused To Vaccinate His Children’,1,3,11,68,11,6.2,16,100,0
780,"Haiti Official Getting Ready To Testify Against Clinton Foundation Corruption NEXT WEEK, Found DEAD With “Gunshot to the head”",1,2,25,108,19,5.7,23,131,0
781,Facebook Picks Sides in Alabama Senate Race=> Shuts Down Gateway Pundit and Breitbart Reports on Discredited Allred Accuser,1,2,15,106,18,5.9,14,83,0
782,Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression,1,0,10,73,12,6.1,13,83,0
783,Laguna Beach Antifa 22m David Hogg Didn't Attend Parkland High School I Went to School With Him at Redondo Shores High School in California and He Graduated in 2015 Here He Is in Our Yearbook From 201,1,1,28,164,37,4.4,17,75,0
784,Lady Gaga on Twitter,1,0,3,17,4,4.2,17,75,0
785,American News is under construction,1,0,2,31,5,6.2,6,40,0
786,Kushner And Wife Ivanka Trump Were Tossed Out Of The White House — And Donald Is Cutting Them Out Of His Will!,1,1,21,89,22,4.0,23,95,0
787,Thinking about writing in a candidate on Election Day? Read this before you do.,1,1,4,66,14,4.7,6,28,0
788,Trump Gives Chaffetz The Thumbs Up For Investigating Hillary Clinton’s Email Server,1,1,12,72,12,6.0,16,100,0
789,Obama Secretly Flees US – Leaves Stunning Evidence Behind,1,0,9,49,9,5.4,18,100,0
790,BREAKING: Monica Lewinsky Found Dead In Roslindale,1,1,14,44,7,6.3,31,200,0
791,BREAKING: The Democrat James Comey Has Been Having An Affair With Was JUST REVEALED! (DETAILS),1,4,38,80,15,5.3,47,253,0
792,"ABC News Joins Obama In Ban Of American Flag Lapel Pins, Here’s What You Need To Know",1,1,19,69,17,4.1,27,111,0
793,10 Things You Didn't Know About Nancy Pelosi,1,1,7,37,8,4.6,18,87,0
794,"Mom applies a remedy to her baby, moments later he dies. Be careful with this, moms!",1,1,2,69,16,4.3,2,12,0
795,Clinton Foundations Sends Water To Houston For $7 A Bottle,1,0,9,49,10,4.9,18,90,0
796,"Flight Crew Takes A Knee And Walks Off, Leaving New Orleans Saints Stranded On Runway",1,0,15,71,15,4.7,21,100,0
797,Floyd Mayweather Jr. Donates a Whopping Sum of Money to Houston After Hurricane – What You Missed,1,0,13,81,17,4.8,16,76,0
798,"New Star Wars Movie Filming Near Rosenberg, Texas, Large Number of Extras Needed – WBN 12 News",1,0,16,78,17,4.6,20,94,0
799,Chuck Schumers Steamy Affair With A High School Cheerleader Confirmed,1,0,10,64,10,6.4,15,100,0
800,"Tennessee GOP Twitter taken down, after Tweet exposing Pelosi involved in Pedophilia",1,0,8,73,12,6.1,10,66,0
801,"80% of black men in Atlanta are Homosexuals, study says",1,0,2,46,10,4.6,4,20,0
802,Texas church shooter was a militant atheist,1,0,1,37,7,5.3,2,14,0
803,Pope Calls for World Wide Gun Confiscation Except for the UN,1,0,9,50,11,4.5,18,81,0
804,BREAKING: Barcelona Terrorist Has A Cousin In The US Named Barack,1,1,19,55,11,5.0,34,172,0
805,BREAKING: President Trump Just Told Paul Ryan ‘You’re Fired’,1,4,16,52,9,5.8,30,177,0
806,“HIV VIRUS” Found In Walmart Bananas After 10 Year Old Boy Agreements The Infection,1,2,19,70,14,5.0,27,135,0
807,Senate Democrats Demand Supreme Court Nominee Not Be Unduly Influenced By U.S. Constitution,1,0,14,79,13,6.1,17,107,0
808,Application for ‘March For Our Lives’ permit was made months before Parkland school shooting,1,2,6,79,14,5.6,7,42,0
809,412 Michigan Muslims Arrested In Fed’s ‘LARGEST BUST IN U.S. HISTORY’,1,3,27,59,11,5.4,45,245,0
810,"BOOM: Roy Moore Takes The Military Vote, Pulls Ahead By 5K Votes",1,1,15,53,12,4.4,28,125,0
811,Julia Roberts Claims ‘Michelle Obama Isn’t Fit to Clean Melania’s Toilet’,1,4,10,63,11,5.7,15,90,0
812,New Jersey Police Chief Says Black People ‘Have No Value’ And Should All Be Executed,1,2,15,70,15,4.7,21,100,0
813,State Of Minnesota Has Just Handed Over FULL CONTROL To Muslims So They Can Take Down ‘Infidels’,1,2,26,80,17,4.7,32,152,0
814,BREAKING: Clinton Foundation Cargo Ship Raided At Port Of Baltimore Reveals Sick Secret,1,1,20,75,13,5.8,26,153,0
815,Miley Cyrus: 'Donald Trump Is a F--king Nightmare',1,5,7,43,8,5.4,16,87,0
816,BREAKING: Bill O’Reilly In Critical Condition After Being Attacked By ‘Tolerant’ Liberals,1,4,20,78,12,6.5,25,166,0
817,"Bill Murray Had This to Say About Rochester, New Hampshire Residents – News Daily 12",1,0,12,70,15,4.7,17,80,0
818,Keanu Reeves Shook The World With Another POWERFUL Message,1,0,16,50,9,5.6,32,177,0
819,BREAKING: KEN STARR’S PLANE JUST DISAPPEARED ON HIS WAY TO DC TO TESTIFY AGAINST HILLARY,1,2,72,74,15,4.9,97,480,0
820,TRUMP WANTS TO DEPORT AMERICAN INDIANS TO INDIA,1,0,40,40,8,5.0,100,500,0
821,BREAKING: Johnny Depp Taken Into Custody By Secret Service,1,1,16,50,9,5.6,32,177,0
822,"Peter Strzok, FBI Agent in Texting Scandal, Will Testify Before Congress",1,0,12,62,11,5.6,19,109,0
823,Trump Removing Marines From the Navy,1,0,5,31,6,5.2,16,83,0
824,Mueller Will Be Forced To Resign Over Pelosi Affair,1,0,9,43,9,4.8,20,100,0
825,DONALD TRUMP PRAISES COLONEL SANDERS FOR HIS SERVICE IN THE CIVIL WAR Manny Schewitz O 2 Days Ago Off the Wire Speaking to Our Intern Dave Robicheaux Who Is Paid in Facebook Likes Trump Insisted Col H,1,0,79,164,37,4.4,48,213,0
826,Charleston Shooter Dylann Roof Moved to Death Row in Terre Haute Federal Prison,1,0,11,67,13,5.2,16,84,0
827,Trump Vows to End Winter Heating Assistance for Elderly and Disabled – Our Voice,1,0,10,67,14,4.8,14,71,0
828,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,1,1,16,51,9,5.7,31,177,0
829,Clinton Foundation Largest Unprosecuted Charity Fraud in History-Charles Ortel,1,1,9,70,9,7.8,12,100,0
830,You are being redirected...,1,0,1,24,4,6.0,4,25,0
831,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",1,0,9,56,11,5.1,16,81,0
832,FBI uncovered Russian bribery plot before Obama administration approved controversial nuclear deal with Moscow,1,0,6,97,14,6.9,6,42,0
833,NASA Has Just Confirmed Earth Has A New Moon,1,0,12,36,9,4.0,33,133,0
834,"The pro-Russia, pro-weed, pro-Assange GOP congressman who will be tough to beat",1,3,6,68,12,5.7,8,50,0
835,Target Recalls Water Absorbing Toys Due to Serious Ingestion Hazard,1,0,9,58,10,5.8,15,90,0
836,UPDATE: Malia Obama Among 10 Arrested In Racist Antifa Attack,1,1,14,52,10,5.2,26,140,0
837,UF requests to cancel Rivalry game against FSU,1,0,6,39,8,4.9,15,75,0
838,Las Vegas Shooting Witnesses Report Multiple Gunmen Dressed as Security Guards Oct 3 2017,1,0,11,76,14,5.4,14,78,0
839,alternativemediasyndicate.com,1,0,0,29,1,29.0,0,0,0
840,BREAKING: US comedian Kevin Hart in critical condition after gory car crash,1,1,12,64,12,5.3,18,100,0
841,TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies,1,0,25,73,14,5.2,34,178,0
842,Fox News Sandra Smith: “Everybody Could See From The United Airlines Passenger’s Behavior That He Was Not A Genuine American”,1,4,20,106,20,5.3,18,100,0
843,flashnewscorner.com,1,0,0,19,1,19.0,0,0,0
844,"DNC’s Donna Brazile Dedicated Her Book to ‘Patriot’ Seth Rich, Whose Death Made Her Fear for Her Own Life",1,3,19,87,19,4.6,21,100,0
845,Manager killed 10 employees at checkers on 183st and 27ave,1,0,1,49,10,4.9,2,10,0
846,Obama Announces Bid To Become UN Secretary General – Usa News,1,0,11,51,11,4.6,21,100,0
847,MEXICO’S NEXT PRESIDENT Calls for An Invasion Of The US….,1,1,27,48,10,4.8,56,270,0
848,NASA ANNOUNCED THAT IT COMMUNICATED WITH FOUR RACES OF ALIENS,1,0,52,52,10,5.2,100,520,0
849,Ohio student suspended for staying in class during National Walkout Day,1,0,4,61,11,5.5,6,36,0
850,BREAKING NEWS: Prince William and Harry donates $100 million to Hurricane Harvey Victims,1,1,18,76,13,5.8,23,138,0
851,Morgan Freeman: ‘Jailing Hillary’ Best Way To ‘Restore Public Faith In Govt’,1,5,12,65,12,5.4,18,100,0
852,Jason Aldean Gig Canceled After He Sells Out To Liberals On SNL,1,0,14,52,12,4.3,26,116,0
853,Trump Orders 13 Obama Deep State Operatives Arrested For Treason,1,0,9,55,10,5.5,16,90,0
854,Inside a Fake News Sausage Factory: ‘This Is All About Income’,1,3,10,52,11,4.7,19,90,0
855,CNN To Permanently Close Its Doors As Ratings Plunge 30 Percent,1,0,12,53,11,4.8,22,109,0
856,REPORT: Kim Jong Un Killed In Trump’s Overnight Black Op Attack On North Korea -,1,3,19,66,15,4.4,28,126,0
857,"Statement from FDA Commissioner Scott Gottlieb, M.D., on FDA’s ongoing efforts to help improve effectiveness of influenza vaccines",1,1,12,113,18,6.3,10,66,0
858,Eric Trump: It would be 'foolish' for my dad to release tax returns,1,3,3,55,13,4.2,5,23,0
859,BREAKING! Roy Moore’s Accuser Worked for Democratic Leaders and Is Actively Campaigning for Moore’s Opponent ⋆ Activist Mommy,1,3,21,108,18,6.0,19,116,0
860,Civil War Erupts In Sweden as Irate Swedes Burn Nine Muslim Refugee Centers to the Ground,1,0,13,74,16,4.6,17,81,0
861,Mental Images,1,0,2,12,2,6.0,16,100,0
862,Kurt Russel Just SHOWED Overpaid Celebs It’s Time To Shut Up About Trump – Hits Them Where It Hurts!,1,2,23,82,19,4.3,28,121,0
863,First Indictment Issued In Russian Bribery Case Tied To Obama-Era Uranium One Deal,1,1,14,70,13,5.4,20,107,0
864,Trump’s Top Scientist Pick: “Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer”,1,4,20,111,20,5.6,18,100,0
865,STUNNING! Democrats BOO and GROAN at Trump Mention of Murder Victims of MS-13 Killers (VIDEO),1,4,29,79,15,5.3,36,193,0
866,"BREAKING: Trump Just Gave Every WORKING, LEGAL Man Woman And Child In The USA $612 EACH! -",1,3,37,74,17,4.4,50,217,0
867,Investigators: Anthony Bourdain Was Killed By Clinton Operatives,1,1,8,57,8,7.1,14,100,0
868, Friendly Fire … Charlottesville Car attacker is antiTrump Antifa supporter,1,0,6,65,11,5.9,9,54,0
869,BREAKING: 60 People Just Found Dead In Ohio,1,1,14,36,8,4.5,38,175,0
870,Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State,1,1,8,71,13,5.5,11,61,0
