,title,class,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word
153,U.S. Solar Market Insight Report,0,0,6,28,5,5.6,21,120,0
154,FrontPage Magazine,0,0,3,17,2,8.5,17,150,0
155,Obama: Gitmo inspires jihadists,0,1,2,28,4,7.0,7,50,0
156,RAW DATA: Dick Cheney's Remarks to the Center for Security Policy,0,2,13,55,11,5.0,23,118,1
157,Critical Mention,0,0,2,15,2,7.5,13,100,0
158,Monthly Treasury Statement of Receipts and Outlays of the United States Government,0,0,8,71,12,5.9,11,66,0
159,Remarks of Senator Barack Obama An Agenda for MiddleClass Success,0,0,9,56,10,5.6,16,90,0
160,Is The End In Sight For Supermax?,0,1,7,27,7,3.9,25,100,0
161,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",0,0,8,54,9,6.0,14,88,0
162,Tim Kaine's Speech in Spanish at an Arizona Rally: Read Now,0,2,8,49,11,4.5,16,72,0
163,Trump's Tough Talk on Hedge-Fund Taxes Doesn't Match His Plan,0,3,10,52,10,5.2,19,100,0
164,Crime in Chicago: Explore your community,0,1,3,35,6,5.8,8,50,0
165,John McCain for President,0,0,4,22,4,5.5,18,100,0
166,Des Moines Register,0,0,3,17,3,5.7,17,100,0
167,New York Election Results November 7,0,0,5,31,6,5.2,16,83,0
168,Sanders Supports Gun Safety Bill,0,0,5,28,5,5.6,17,100,0
169,"""On and On""",0,2,2,9,3,3.0,22,66,0
170,Sasse Statement on Trade War,0,0,4,24,5,4.8,16,80,0
171,Monthly Budget Review,0,0,3,19,3,6.3,15,100,0
172,'This Week' Transcript: Hillary Clinton,0,3,5,35,5,7.0,14,100,0
173,Centers for Disease Control and Prevention,0,0,4,37,6,6.2,10,66,0
174,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",0,2,9,86,13,6.6,10,69,0
175,"NRA President David Keene Rejects White House Gun Control Approach | PBS NewsHour | Jan. 15, 2013",0,0,18,81,17,4.8,22,105,0
176,Let’s Not Be Civil,0,1,4,15,4,3.8,26,100,0
177,Average cable TV bill cited in article on industry study,0,0,3,47,10,4.7,6,30,0
178,U.S. Department of Education Budget History,0,0,6,38,6,6.3,15,100,0
179,LexisNexis(R) Publisher,0,2,4,22,2,11.0,18,200,0
180,Transcript: Bob Barr on 'FOX News Sunday',0,3,8,35,7,5.0,22,114,0
181,"The first Trump-Clinton presidential debate transcript, annotated",0,1,3,59,7,8.4,5,42,0
182,Border Security The Role of the US Border Patrol,0,0,8,40,9,4.4,20,88,0
183,Pelosi urges minimum-wage hike,0,1,1,27,4,6.8,3,25,0
184,Clinton's Lead Over Trump Shrinks to 3 Points: New NBC News/WSJ Poll,0,2,15,57,12,4.8,26,125,0
185,FindArticles.com,0,0,2,16,1,16.0,12,200,0
186,All Nobel Peace Prizes,0,0,4,19,4,4.8,21,100,0
187,U.S. Senator John McCain,0,0,6,21,4,5.2,28,150,0
188,H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,0,5,8,67,10,6.7,11,80,0
189,Hillary Clinton Transcript: Read Full Text of Clinton Campaign Launch,0,1,9,60,10,6.0,15,90,0
190,John Hagee discusses Catholic Church,0,0,4,32,5,6.4,12,80,0
191,“Put Palin’s WolfKilling Record on Television”,0,3,6,41,6,6.8,14,100,0
192,Transcripts,0,0,1,11,1,11.0,9,100,0
193,"The Hill: Op-Ed: Go natural, go nuclear",0,3,5,33,7,4.7,15,71,0
194,Amendment to to declare English as the national language of the Government of the United States,0,0,5,80,16,5.0,6,31,0
195,Declining Business Dynamism in the United States A Look at States and Metros,0,0,9,64,13,4.9,14,69,0
196,Nexis®: Sign In,0,1,3,13,3,4.3,23,100,0
197,Rep. Vern Buchanan on Twitter,0,0,4,25,5,5.0,16,80,0
198,Transcripts,0,0,1,11,1,11.0,9,100,0
199,Ivanka Trump: Father feels 'vindicated' after Comey hearing,0,3,4,52,8,6.5,7,50,0
200,"McCain touts 'Gang of 14,' immigration reform",0,2,3,39,7,5.6,7,42,0
201,Planned Parenthood® Action Center,0,0,4,30,4,7.5,13,100,0
202,CPD: 2008 Debate Transcript,0,1,5,24,4,6.0,20,125,0
203,More Czars Than the Romanovs,0,0,4,24,5,4.8,16,80,0
204,"Impact of Senator Obama's Tax Proposals as Described by Economic Advisors on Workers, Distribution of Federal Tax Change by Cash Income Percentile, 2009",0,1,16,130,23,5.7,12,69,0
205,"He says universal, but it's no guarantee",0,1,1,34,7,4.9,2,14,0
206,Obama addresses key concerns for Floridians,0,0,2,38,6,6.3,5,33,0
207,Chairmans Mark Americas Healthy Future Act of 2009,0,0,6,43,8,5.4,13,75,0
208,Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,0,2,10,64,13,4.9,15,76,0
209,'This Week' Transcript: Adm. Mike Mullen,0,3,6,35,6,5.8,17,100,0
210,Obama Demands Investigation into Subprime Loan Discrimination,0,0,6,55,7,7.9,10,85,0
211,LexisNexis(R) Publisher,0,2,4,22,2,11.0,18,200,0
212,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",0,0,8,54,9,6.0,14,88,0
213,Hillary Clinton Transcript: Building the ‘Growth and Fairness Economy’,0,3,7,62,9,6.9,11,77,0
214,Topic A: How Can President Obama Regain His Political Footing?,0,2,10,53,10,5.3,18,100,0
215,AUTOS: The Dinosaur Hunter,0,1,8,23,4,5.8,34,200,0
216,3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,0,3,12,64,12,5.3,18,100,0
217,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",0,0,8,54,9,6.0,14,88,0
218,Forget Kiev. The Real Fight Will Be for Crimea,0,0,8,38,9,4.2,21,88,0
219,2008 Presidential Election,0,0,2,24,3,8.0,8,66,0
220,Public financial disclosure report,0,0,1,31,4,7.8,3,25,0
221,McCain Campaigns In Nashville,0,0,5,26,4,6.5,19,125,0
222,H1N1 vaccinations to be offered to Guantanamo Bay detainees,0,0,4,51,9,5.7,7,44,0
223,Inquiry Sought in Hillary Clinton’s Use of Email,0,1,6,41,8,5.1,14,75,0
224,"CNN's Don Lemon: Bill O'Reilly's Criticism Of Black Community ""Doesn't Go Far Enough""",0,7,16,77,13,5.9,20,123,0
225,FY 2010 President's Budget,0,1,4,23,4,5.8,17,100,0
226,"""Give Me a Break"" Americans Against Food Taxes TV Ad 2011",0,2,10,47,11,4.3,21,90,0
227,Barack Obama on Twitter,0,0,3,20,4,5.0,15,75,0
228,Text - H.R.2122 - 106th Congress (1999-2000): Mandatory Gun Show Background Check Act,0,6,10,73,13,5.6,13,76,0
229,Noted and Quoted,0,0,2,14,3,4.7,14,66,0
230,The Associated Press: Obama Hits Clinton on NAFTA Support,0,1,12,49,9,5.4,24,133,0
231,"Democratic debate: Bernie Sanders really isn't as ""socialist"" as President Eisenhower",0,4,5,76,11,6.9,6,45,0
232,"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",0,3,13,83,14,5.9,15,92,0
233,"Oct. 11: Levin, Graham, McCaffrey, Myers, roundtable",0,1,6,46,7,6.6,13,85,0
234,US Foreign Economic and Military Aid by Major Recipient Country The New York Times,0,0,13,69,14,4.9,18,92,0
235,2011 Text of President Barack Obama’s proposed jobs bill Email interview with Lynne Bernabei,0,1,7,79,14,5.6,8,50,0
236,Republican consultant says Barack Obama promised to halve federal deficit in his first term,0,0,3,78,14,5.6,3,21,0
237,2011 Urban InstituteBrookings Institution Tax Policy Center,0,0,7,53,7,7.6,13,100,0
238,"DNC TV AD: ""Trapped""",0,3,8,17,4,4.2,47,200,0
239,Fox News Sunday,0,0,3,13,3,4.3,23,100,0
240,Remarks by the President in Twitter Town Hall,0,0,5,38,8,4.8,13,62,0
241,Press release AIG Discloses Counterparties to CDS GIA and Securities Lending Transactions,0,0,15,78,12,6.5,19,125,0
242,2011 via CQ subscribers only Tax Foundation,0,0,4,37,7,5.3,10,57,0
243,Barack Obama’s Remarks in St. Paul,0,1,5,29,6,4.8,17,83,0
244,The Fact Hub,0,0,3,10,3,3.3,30,100,0
245,"Key Facts: Race, Ethnicity and Medical Care",0,1,6,37,7,5.3,16,85,0
246,"Senator Biden’s Remarks in Springfield, Ill.",0,1,5,39,6,6.5,12,83,0
247,Rockefeller: An Opportunity We Cant Pass Up,0,1,7,41,7,5.9,17,100,0
248,"Call 'Islamic terrorism' what it is: a threat to West, Jeb Bush says",0,3,5,56,13,4.3,8,38,0
249,Obama administration opens the door for states to seek major changes in welfaretowork law,0,0,1,76,14,5.4,1,7,0
250,Remarks by the President at CNBC Town Hall Discussion on Jobs,0,0,10,51,11,4.6,19,90,0
251,Q&A: Did slaves build the White House?,0,3,5,32,7,4.6,15,71,0
252,"Health Reform Carries Heavy Price, Insurers Claim",0,0,7,43,7,6.1,16,100,0
253,Obama’s Remarks at the White House Health Care Forum,0,1,7,44,9,4.9,15,77,0
254,"Remarks by the President at Campaign Event -- Colorado Springs, CO",0,2,8,56,11,5.1,14,72,0
255,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",0,0,8,54,9,6.0,14,88,0
256,"If Democrats Lose, Blame These Guys",0,0,6,30,6,5.0,20,100,0
257,"McCAIN, John Sidney, III",0,0,10,21,4,5.2,47,250,0
258,REMARKS BY THE PRESIDENT AND FIRST LADY AT A CAMPAIGN EVENT,0,0,49,49,11,4.5,100,445,0
259,"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",0,7,9,65,11,5.9,13,81,0
260,Rep Poe Interviewed on Fox Business Network,0,0,6,37,7,5.3,16,85,0
261,Senate Democrats news conference on the Senate Climate Action Task Force,0,0,7,62,11,5.6,11,63,0
262,'This Week' Transcript: Kaine and Steele,0,3,5,35,6,5.8,14,83,0
263,RACE FOR CITY HALL: The Republican Candidate; A Mercurial Mayor's Confident Journey,0,3,23,72,12,6.0,31,191,0
264,Encounters With 'Regular Guy' Fred Thompson -- New York Magazine,0,4,9,55,10,5.5,16,90,0
265,US Trade in Goods,0,0,4,14,4,3.5,28,100,0
266,Remarks by the President on Responsible Homeownership,0,0,4,47,7,6.7,8,57,0
267,"Washington Post: Breaking News, World, US, DC News & Analysis",0,2,11,52,10,5.2,21,110,0
268,interview with Bloomberg television,0,0,1,32,4,8.0,3,25,0
269,Obamacare vs. the Catholic bishops,0,0,2,30,5,6.0,6,40,0
270,FDIC: FIL-14-2005: Revised Examination Guidance,0,4,10,43,5,8.6,23,200,0
271,Justices 1789 to Present,0,0,2,21,4,5.2,9,50,0
272,A Preliminary Analysis of the President’s Budget and an Update of CBO’s Budget and Economic Outlook,0,2,12,84,16,5.2,14,75,0
273,"S.1591 - 104th Congress (1995-1996): A bill to prohibit campaign expenditures for services of lobbyists, and for other purposes.",0,5,3,110,19,5.8,2,15,0
274,Teamsters Tout ANWR on Capitol Hill,0,0,8,30,6,5.0,26,133,0
275,Senate Passes Obama-Hagel Provision Aimed at Preventing Nuclear Terrorism,0,1,9,65,9,7.2,13,100,0
276,Transcript: House Majority Leader Boehner on 'FNS',0,3,8,44,7,6.3,18,114,0
277,John McCain for President,0,0,4,22,4,5.5,18,100,0
278,"Background Briefing on GM Restructuring, May 31, 2009",0,0,6,46,8,5.8,13,75,0
279,Georgia crisis triggers war of words on White House trail,0,0,3,48,10,4.8,6,30,0
280,Social Security Trustees Report 2007,0,0,4,32,5,6.4,12,80,0
281,U.S. Senator Debbie Stabenow of Michigan,0,0,6,35,6,5.8,17,100,0
282,Hillary Clinton Sits Down With Bill OReilly,0,0,8,37,7,5.3,21,114,0
283,The Committee on Energy and Commerce,0,0,4,31,6,5.2,12,66,0
284,Writers May Have Pact. Huckabee Crosses Picket Line—Again,0,0,9,50,8,6.2,18,112,0
285,"Latest World News, Videos & Photos -ABC News - ABC News",0,3,13,45,11,4.1,28,118,0
286,Economy Protect Homeownership and Crack Down on Mortgage Fraud,0,0,7,54,9,6.0,12,77,0
287,Congressman Pence Discusses House Republican Energy Bill on MSNBC's Morning Joe,0,1,14,69,11,6.3,20,127,0
288,"Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target",0,6,12,73,12,6.1,16,100,0
289,Transcript: Vice Presidential Debate,0,1,4,33,4,8.2,12,100,0
290,comments at the CNN Republican presidential debate in Las Vegas,0,0,6,54,10,5.4,11,60,0
291,"Palin: Pioneer, maverick -- and now game-changer",0,4,2,42,7,6.0,4,28,0
292,Why the Public Option Isn't the Only Answer to Health-Care Reform,0,2,9,55,11,5.0,16,81,0
293,One in Four – Congressman Joe Pitts – Medium,0,0,6,36,9,4.0,16,66,0
294,Congressman Allen West : Final Weekly Wrapup,0,1,6,38,7,5.4,15,85,0
295,United States Senator Jim DeMint,0,0,6,28,5,5.6,21,120,0
296,Rebooting: You and your doctor under Obamacare,0,1,3,40,7,5.7,7,42,0
297,Card Penalty Fees Soften Slightly In 2010,0,0,6,35,7,5.0,17,85,0
298,Assistant professor of economics at the Gatton College of Business and Economics at University of Kentucky,0,0,7,91,16,5.7,7,43,0
299,"President Trump Campaigns Rick Saccone Pennsylvania, Mar 10 2018",0,0,7,56,9,6.2,12,77,0
300,Daily Fuel Gauge Report Aug 1,0,0,5,24,6,4.0,20,83,0
301,Public Citizen,0,0,2,13,2,6.5,15,100,0
302,WATCH FULL Ted Cruz presser on new deal with Kasich (UPDATE: PART TWO ADDED),0,3,30,63,14,4.5,47,214,0
303,Protecting Our Children from the Dangers of Smoking,0,0,5,44,8,5.5,11,62,0
304,Part 1 of CNN Democratic presidential debate,0,0,5,38,7,5.4,13,71,0
305,"9/11 families, others rally in favor of NYC mosque",0,0,3,42,9,4.7,7,33,0
306,Resource Not Available,0,0,3,20,3,6.7,15,100,0
307,"McCain, Obama go head to head in last debate",0,0,3,36,9,4.0,8,33,0
308,Take action,0,0,1,10,2,5.0,10,50,0
309,Transcripts,0,0,1,11,1,11.0,9,100,0
310,'This Week' Transcript: Gen. Jim Jones (Ret.),0,5,7,39,7,5.6,17,100,0
311,Renewing Americas Promise,0,0,3,23,3,7.7,13,100,0
312,"Earmark reform? 2009 spending bill contains 9,000 of them",0,1,1,49,9,5.4,2,11,0
313,Dean Ralph Reed Fundraiser Reveals McCain Double Talk on Ethics,0,0,10,54,10,5.4,18,100,0
314,"Leonard Lance claims federal tax code contains 4 million words, is 7 times as long as Bible",0,0,3,75,17,4.4,4,17,0
315,Public Campaign Action Fund,0,0,4,24,4,6.0,16,100,0
316,TSA: Frequently Asked Questions,0,1,6,28,4,7.0,21,150,0
